Namespace(weights=['/home/joseph/Documents/git/yolov7/runs/train/yolo_foosball_det_1/weights/best.pt'], source='/home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4', img_size=640, conf_thres=0.25, iou_thres=0.45, device='', view_img=False, save_txt=False, save_conf=False, nosave=False, classes=None, agnostic_nms=False, augment=False, update=False, project='runs/detect', name='exp', exist_ok=False, no_trace=False)
Fusing layers... 
IDetect.fuse
 Convert model to Traced-model... 
 traced_script_module saved! 
 model is traced! 

video 1/1 (86/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (87/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (88/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (89/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.3ms) Inference, (0.7ms) NMS
video 1/1 (90/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (91/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (92/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (93/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.2ms) Inference, (0.9ms) NMS
video 1/1 (94/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (95/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (96/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.3ms) Inference, (0.7ms) NMS
video 1/1 (97/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (98/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (99/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (100/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (101/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.1ms) Inference, (0.7ms) NMS
video 1/1 (102/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (103/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (104/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (105/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (4.2ms) Inference, (1.0ms) NMS
video 1/1 (106/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (107/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (108/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.4ms) Inference, (0.7ms) NMS
video 1/1 (109/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 8 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (110/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (111/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (112/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (113/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.1ms) Inference, (1.0ms) NMS
video 1/1 (114/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (115/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 8 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (116/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (117/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.2ms) Inference, (0.9ms) NMS
video 1/1 (118/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (119/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (120/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.4ms) Inference, (0.7ms) NMS
